frame,depth_ms,semantic_ms,projection_ms,point_count,depth_backend,semantic_backend,projection_backend
0,236.184,255.97,340.755,27648,official,yolo-world,cuda
1,51.931,7.008,2.913,27648,official,yolo-world,cuda
2,52.313,7.503,2.009,27648,official,yolo-world,cuda
3,51.133,7.064,1.989,27648,official,yolo-world,cuda
4,53.705,7.007,2.681,27648,official,yolo-world,cuda
5,49.674,8.41,2.72,27648,official,yolo-world,cuda
6,50.164,7.542,2.526,27648,official,yolo-world,cuda
7,49.244,7.488,2.358,27648,official,yolo-world,cuda
8,49.413,7.025,2.196,27648,official,yolo-world,cuda
9,50.053,7.454,2.037,27648,official,yolo-world,cuda
10,48.729,7.476,2.454,27648,official,yolo-world,cuda
11,49.755,7.045,2.458,27648,official,yolo-world,cuda
12,50.474,7.067,2.439,27648,official,yolo-world,cuda
13,51.22,7.719,4.024,27648,official,yolo-world,cuda
14,50.405,7.201,2.132,27648,official,yolo-world,cuda
15,49.187,7.729,2.331,27648,official,yolo-world,cuda
16,50.822,7.058,4.02,27648,official,yolo-world,cuda
17,49.082,7.066,2.529,27648,official,yolo-world,cuda
18,48.884,7.037,2.35,27648,official,yolo-world,cuda
19,49.705,7.2,2.165,27648,official,yolo-world,cuda
20,53.468,9.249,2.11,27648,official,yolo-world,cuda
21,49.241,7.151,2.469,27648,official,yolo-world,cuda
22,50.1,7.305,2.261,27648,official,yolo-world,cuda
23,49.835,7.539,2.934,27648,official,yolo-world,cuda
24,50.712,7.269,2.039,27648,official,yolo-world,cuda
25,48.646,7.732,2.099,27648,official,yolo-world,cuda
26,48.949,7.749,2.151,27648,official,yolo-world,cuda
27,50.206,7.256,2.297,27648,official,yolo-world,cuda
28,50.566,7.134,3.516,27648,official,yolo-world,cuda
29,50.8,7.423,2.324,27648,official,yolo-world,cuda
30,50.256,8.204,2.01,27648,official,yolo-world,cuda
31,49.31,7.699,2.18,27648,official,yolo-world,cuda
32,50.561,7.2,2.61,27648,official,yolo-world,cuda
33,49.024,7.023,2.524,27648,official,yolo-world,cuda
34,50.095,7.378,3.145,27648,official,yolo-world,cuda
35,48.792,7.076,2.042,27648,official,yolo-world,cuda
36,49.148,8.417,2.076,27648,official,yolo-world,cuda
37,48.863,7.482,2.05,27648,official,yolo-world,cuda
38,51.527,7.025,2.256,27648,official,yolo-world,cuda
39,49.425,7.367,2.691,27648,official,yolo-world,cuda
40,49.112,7.652,2.337,27648,official,yolo-world,cuda
41,48.834,9.523,2.64,27648,official,yolo-world,cuda
42,50.843,7.777,2.022,27648,official,yolo-world,cuda
43,48.762,7.614,2.222,27648,official,yolo-world,cuda
44,49.545,7.173,2.233,27648,official,yolo-world,cuda
45,49.58,7.101,2.351,27648,official,yolo-world,cuda
46,49.782,7.508,2.408,27648,official,yolo-world,cuda
47,49.26,7.048,2.275,27648,official,yolo-world,cuda
48,49.755,9.058,2.013,27648,official,yolo-world,cuda
49,49.932,7.679,3.486,27648,official,yolo-world,cuda
50,49.637,8.074,2.701,27648,official,yolo-world,cuda
51,51.047,8.099,2.275,27648,official,yolo-world,cuda
52,48.954,7.276,1.985,27648,official,yolo-world,cuda
53,49.015,7.686,2.236,27648,official,yolo-world,cuda
54,51.995,7.447,2.91,27648,official,yolo-world,cuda
55,50.082,7.305,2.91,27648,official,yolo-world,cuda
56,49.018,7.743,2.436,27648,official,yolo-world,cuda
57,49.206,7.902,2.926,27648,official,yolo-world,cuda
58,50.408,7.077,1.975,27648,official,yolo-world,cuda
59,49.149,7.485,2.88,27648,official,yolo-world,cuda
60,50.106,7.031,2.498,27648,official,yolo-world,cuda
61,49.028,7.416,2.549,27648,official,yolo-world,cuda
62,49.561,7.292,3.638,27648,official,yolo-world,cuda
63,50.187,7.337,2.232,27648,official,yolo-world,cuda
64,50.804,7.115,2.074,27648,official,yolo-world,cuda
65,50.711,7.78,2.148,27648,official,yolo-world,cuda
66,51.063,7.117,2.187,27648,official,yolo-world,cuda
67,48.713,7.086,2.346,27648,official,yolo-world,cuda
68,51.744,6.944,1.999,27648,official,yolo-world,cuda
69,49.313,7.487,2.233,27648,official,yolo-world,cuda
70,49.168,7.73,3.209,27648,official,yolo-world,cuda
71,50.552,7.259,3.006,27648,official,yolo-world,cuda
72,53.69,7.563,2.434,27648,official,yolo-world,cuda
73,49.885,7.659,2.253,27648,official,yolo-world,cuda
74,51.29,7.01,2.048,27648,official,yolo-world,cuda
75,49.782,7.166,1.962,27648,official,yolo-world,cuda
76,50.219,7.454,2.926,27648,official,yolo-world,cuda
77,49.826,7.5,2.278,27648,official,yolo-world,cuda
78,50.875,7.49,2.43,27648,official,yolo-world,cuda
79,49.409,7.43,1.934,27648,official,yolo-world,cuda
80,50.907,7.267,2.148,27648,official,yolo-world,cuda
81,49.969,7.675,2.037,27648,official,yolo-world,cuda
82,50.567,6.984,2.257,27648,official,yolo-world,cuda
83,48.606,7.398,2.607,27648,official,yolo-world,cuda
84,50.609,7.517,2.624,27648,official,yolo-world,cuda
85,50.098,7.455,2.235,27648,official,yolo-world,cuda
86,50.439,8.541,2.096,27648,official,yolo-world,cuda
87,49.864,8.255,3.942,27648,official,yolo-world,cuda
88,51.903,7.354,2.228,27648,official,yolo-world,cuda
89,49.273,7.006,2.262,27648,official,yolo-world,cuda
90,48.623,7.98,2.792,27648,official,yolo-world,cuda
91,50.932,7.419,2.25,27648,official,yolo-world,cuda
92,51.292,7.323,2.406,27648,official,yolo-world,cuda
93,51.093,7.637,2.264,27648,official,yolo-world,cuda
94,50.705,7.345,2.986,27648,official,yolo-world,cuda
95,49.667,7.281,2.675,27648,official,yolo-world,cuda
96,51.242,7.917,1.899,27648,official,yolo-world,cuda
97,49.846,7.67,2.104,27648,official,yolo-world,cuda
98,53.563,8.639,2.317,27648,official,yolo-world,cuda
99,50.484,7.472,2.165,27648,official,yolo-world,cuda
100,52.264,7.459,2.329,27648,official,yolo-world,cuda
101,49.136,9.699,2.246,27648,official,yolo-world,cuda
102,49.757,7.139,2.037,27648,official,yolo-world,cuda
103,50.617,7.573,2.016,27648,official,yolo-world,cuda
104,48.872,7.658,3.764,27648,official,yolo-world,cuda
105,50.627,7.051,2.456,27648,official,yolo-world,cuda
106,49.052,7.542,2.137,27648,official,yolo-world,cuda
107,54.038,7.213,2.537,27648,official,yolo-world,cuda
108,49.317,7.482,2.34,27648,official,yolo-world,cuda
109,49.683,8.284,2.434,27648,official,yolo-world,cuda
110,49.327,7.703,4.379,27648,official,yolo-world,cuda
111,50.985,7.549,2.271,27648,official,yolo-world,cuda
112,49.012,9.752,2.985,27648,official,yolo-world,cuda
113,49.264,7.164,2.021,27648,official,yolo-world,cuda
114,49.455,7.866,2.001,27648,official,yolo-world,cuda
115,49.36,7.88,2.799,27648,official,yolo-world,cuda
116,49.781,7.678,2.359,27648,official,yolo-world,cuda
117,50.109,7.046,2.264,27648,official,yolo-world,cuda
118,49.785,7.465,1.975,27648,official,yolo-world,cuda
119,50.134,7.472,2.008,27648,official,yolo-world,cuda
